Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/beta/facerec,298,0,2500.0,2625.3431143255048,2086.2894589999996,6323.528874999965,1155.9463087248323,0.09025736540254849,0.0,2500,2600,2700,2700,3000,3400,5700,6100,6300,6300,6300
POST,/beta/login,351,1,530.0,713.33931555271,372.1562499999891,18070.70312499991,30.91168091168091,0.1063098498533373,0.0003028770651092231,530,620,650,680,760,860,1200,3400,18000,18000,18000
POST,/beta/sendemail,334,1,1300.0,1402.1189869221719,250.7146670000111,6230.259625000144,0.0,0.10116093974648051,0.0003028770651092231,1300,1400,1500,1500,1700,1800,2600,3400,6200,6200,6200
POST,/beta/upload,275,0,1100.0,1419.4626889563685,737.0587920004255,31388.858166999853,0.0,0.08329119290503635,0.0,1100,1200,1200,1300,1400,2100,4100,11000,31000,31000,31000
,Aggregated,1258,2,1200.0,1503.4931072519967,250.7146670000111,31388.858166999853,282.449920508744,0.38101934790740266,0.0006057541302184462,1200,1400,2200,2300,2600,2800,3400,5800,18000,31000,31000
